_id,date,creator,institution
"oai:www.seer.ufal.br:article/1471","2014-10-10","Souza, Edivanio Duarte de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1782","2015-10-02","Spudeit, Daniela","Universidade do Estado de Santa Catarina (UDESC)"
"oai:www.seer.ufal.br:article/1324","2014-10-07","Ferreira, Mauricio Ribeiro"
"oai:www.seer.ufal.br:article/1324","2014-10-07","Oliveira, Dalgiza Andrade","ESCOLA DE CIÊNCIA DA INFORMAÇÃO/UNIVERSIDADE FEDERAL DE MINAS GERAIS"
"oai:www.seer.ufal.br:article/1324","2014-10-07","Araujo, Ronaldo Ferreira de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1703","2015-04-30","Gonçalves, Marcio","Universidade Estácio de Sá/FACHA/Ibmec/UFRJ"
"oai:www.seer.ufal.br:article/1703","2015-04-30","Nunes, Alexandre","Universidade Estácio de Sá"
"oai:www.seer.ufal.br:article/1778","2015-10-01","Monteiro, Samuel Alves","Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano, campus Salgueiro"
"oai:www.seer.ufal.br:article/1302","2014-05-07","Alves, Virgínia Bárbara de Aguiar","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1302","2014-05-07","Borges, Maria Manuel","Universidade de Coimbra"
"oai:www.seer.ufal.br:article/1609","2014-12-31","Souza, Edivanio Duarte de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1297","2014-05-07","Souza, Edivanio Duarte de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1472","2014-10-10","Souza, Edivanio Duarte de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1744","2015-04-30","Caran, Gustavo Miranda","Mestre em Ciência da Informação IBICT/UFRJ"
"oai:www.seer.ufal.br:article/1744","2015-04-30","Arrais, Marcos","Professor Auxiliar PUC Minas"
"oai:www.seer.ufal.br:article/1786","2015-10-04","Palleta, Francisco Carlos","Universidade de São Paulo (USP)"
"oai:www.seer.ufal.br:article/1786","2015-10-04","Silva, Joelma Alves","Universidade de São Paulo (USP)"
"oai:www.seer.ufal.br:article/1786","2015-10-04","Augusto, Marcia Silva","Universidade de São Paulo (USP)"
"oai:www.seer.ufal.br:article/1786","2015-10-04","Silva, Yara Cristina Pereira da","Universidade de São Paulo (USP)"
"oai:www.seer.ufal.br:article/1365","2014-10-07","Gomes, Marcos Aurelio","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1365","2014-10-07","Oliveira Junior, José","Instituto Federal de Alagoas (IFAL)"
"oai:www.seer.ufal.br:article/1365","2014-10-07","Araujo, Nelma Camelo de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1754","2015-10-01","Correa, Elisa Cristina Delfini","Universidade do Estado de Santa Catarina"
"oai:www.seer.ufal.br:article/1754","2015-10-01","Prado, Jorge Moisés Kroll do","Universidade do Estado de Santa Catarina"
"oai:www.seer.ufal.br:article/1303","2014-05-07","Tonin, Jaciana de Holanda Costa"
"oai:www.seer.ufal.br:article/1303","2014-05-07","Souza, Edivanio Duarte de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1606","2014-12-31","Souza, Alda Rodrigues Duarte de","Faculdade Estácio de Sá"
"oai:www.seer.ufal.br:article/1606","2014-12-31","Santos, Flaviana das Neves","Faculdade Estácio de Alagoas"
"oai:www.seer.ufal.br:article/1606","2014-12-31","Santos, Jirliane Martins dos","Faculdade Estácio de Alagoas"
"oai:www.seer.ufal.br:article/1707","2015-04-30","Fausto, Sibele","Universidade de São Paulo (USP)"
"oai:www.seer.ufal.br:article/1707","2015-04-30","Leite-Silva, Sadrac","Universidade de São Paulo (USP)"
"oai:www.seer.ufal.br:article/1707","2015-04-30","Ferreira, Sueli Mara Soares Pinto","Universidade de São Paulo (USP)"
"oai:www.seer.ufal.br:article/1298","2014-05-07","Aguiar, Niliane Cunha de","Universidade Federal de Minas Gerais"
"oai:www.seer.ufal.br:article/1596","2014-12-31","Arruda, Anderson Matheus Alves"
"oai:www.seer.ufal.br:article/1596","2014-12-31","Silva, Caroline de Oliveira"
"oai:www.seer.ufal.br:article/1596","2014-12-31","Andrade, Roberia de Lourdes de Vasconcelos","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1945","2015-10-04","Souza, Edivanio Duarte de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1945","2015-10-04","Araújo, Ronaldo Ferreira de","Universidade Federal de Alagoas (UFAL)"
"oai:www.seer.ufal.br:article/1384","2014-09-30","Andrade, Roberia de Lourdes de Vasconcelos","Universidade Federal de Alagoas (UFAL)"
